uniqueID,house
McClelland1958,reps
McColl1844,reps
McColm1914,reps
McCormack1964,reps
McDonald1888,reps
McDonald1861,reps
McDonald1872,reps
McDougall1946,reps
McDougall1867,reps
McEacharn1852,reps
McEwen1900,reps
McFarlane1944,reps
McGauran1955,reps
McGowan1953,reps
McGrath1873,reps
McGuren1909,reps
McHugh1934,reps
McHugh1892,reps
McIvor1900,reps
McKenzie1933,reps
McKew1953,reps
McLachlan1936,reps
McLean1840,reps
McLean1863,reps
McLean1944,reps
McLeay1893,reps
McLeay1922,reps
McLeay1945,reps
McLeod1892,reps
McMahon1930,reps
McMahon1908,reps
McMillan1850,reps
McMullan1947,reps
McNamara1964,reps
McNeill1868,reps
McNeill1921,reps
McNicoll1877,reps
McTiernan1892,reps
McVeigh1930,reps
McVeigh1965,reps
McWilliams1860,reps
Macdonald-Paterson1844,reps
Macfarlane1955,reps
Mack1933,reps
Mackay1872,reps
Mackay1919,reps
MacKellar1938,reps
MacKenzie1941,reps
MacKinnon1903,reps
Macklin1953,reps
Macphee1938,reps
MacTiernan1953,reps
Maher1936,reps
Mahon1857,reps
Mahoney1892,reps
Mahony1877,reps
Maisey1915,reps
Makin1889,reps
Maloney1854,reps
Manifold1867,reps
Mann1874,reps
Manning1872,reps
Marek1964,reps
Marino1954,reps
Marks1875,reps
Markus1958,reps
Marles1967,reps
Marr1880,reps
Martens1874,reps
Martin1948,reps
Martin1920,reps
Martyr1932,reps
Marwick1895,reps
Massy-Greene1874,reps
Matheson1958,reps
Mathews1935,reps
Mathews1865,reps
Mauger1857,reps
Maxwell1859,reps
May1950,reps
Mayer1932,reps
Melham1954,reps
Menzies1894,reps
Mildren1932,reps
Miles1947,reps
Millar1925,reps
Milton1928,reps
Minogue1893,reps
Mirabella1968,reps
MitchellBrian1967,reps
MitchellRobert1967,reps
Moloney1876,reps
Monaghan1921,reps
Moore1936,reps
Morgan1881,reps
Morgan1897,reps
Morris1940,reps
Morris1932,reps
Morrison1968,reps
Morrison1928,reps
Mortimer1913,reps
Morton1981,reps
Mossfield1935,reps
Mountford1933,reps
Mountjoy1906,reps
Moylan1944,reps
Mulcahy1882,reps
Mulder1928,reps
Mullens1896,reps
Munro1930,reps
Murphy1950,reps
Murray1915,reps
Mutch1956,reps
Nairn1951,reps
Nairn1878,reps
Neal1963,reps
Nehl1934,reps
Neil1944,reps
Nelson1959,reps
Nelson1881,reps
Nelson1908,reps
Neumann1961,reps
Neville1940,reps
Newell1952,reps
Newman1933,reps
Nicholls1917,reps
Nicholls1885,reps
Nikolic1961,reps
Nixon1928,reps
Nock1879,reps
Nott1888,reps
Nugent1938,reps
O'Brien1972,reps
O'Brien1926,reps
O'Brien1974,reps
O'Byrne1968,reps
O'Connor1962,reps
O'Connor1947,reps
O'Connor1910,reps
O'Dowd1950,reps
O'Dwyer1977,reps
O'Keefe1864,reps
O'Keefe1912,reps
O'Keefe1947,reps
O'Malley1854,reps
O'Neil1980,reps
O'Neil1937,reps
O'Neill1961,reps
O'Toole1956,reps
Oakeshott1969,reps
Oldmeadow1924,reps
Olley1927,reps
Opperman1904,reps
Orchard1873,reps
Organ1956,reps
Osborne1909,reps
Owens1958,reps
Ozanne1877,reps
Page1880,reps
Page1861,reps
Palmer1859,reps
Palmer1954,reps
Parke1966,reps
Parkhill1879,reps
Parsons1881,reps
Pasin1977,reps
Paterson1844,reps
Paterson1882,reps
Patten1859,reps
Patterson1927,reps
Peacock1939,reps
Pearce1963,reps
Pearce1917,reps
Pearsall1920,reps
Perkins1878,reps
Perrett1966,reps
Peters1897,reps
Pettitt1910,reps
Phelps1957,reps
Phillips1855,reps
Piesse1848,reps
Pigott1866,reps
Pitt1969,reps
Pittard1902,reps
Plibersek1969,reps
Pollard1894,reps
Porter1970,reps
Porter1950,reps
Poynton1853,reps
Pratt1948,reps
Pratten1899,reps
Pratten1865,reps
Prentice1953,reps
Price1892,reps
Price1882,reps
Price1945,reps
Price1963,reps
Prosser1948,reps
Prowse1871,reps
Punch1957,reps
Pyne1967,reps
Quick1941,reps
Quick1852,reps
Raguse1960,reps
Ramsey1956,reps
Randall1953,reps
Rankin1887,reps
Rea1963,reps
Reeves1952,reps
Reid1845,reps
Reid1916,reps
Reid1935,reps
Reith1950,reps
Reynolds1923,reps
Richardson1958,reps
Richardson1939,reps
Riggall1941,reps
Riley1859,reps
Riley1892,reps
Riordan1888,reps
Riordan1930,reps
Riordan1908,reps
Ripoll1966,reps
Rishworth1978,reps
Robb1951,reps
Robert1970,reps
Roberton1900,reps
Roberts1869,reps
Robinson1872,reps
Robinson1929,reps
Robinson1927,reps
Rocher1936,reps
Rodgers1875,reps
Ronald1861,reps
Ronaldson1954,reps
Rosevear1892,reps
Rowe1872,reps
Rowland1971,reps
Roxon1967,reps
Roy1990,reps
Rudd1957,reps
Ruddock1943,reps
Russell1907,reps
Russell1890,reps
Ryan1961,reps
Ryan1884,reps
Ryan1876,reps
Ryrie1865,reps
Saffin1954,reps
Sainsbury1940,reps
St Clair1949,reps
St John1916,reps
Salmon1861,reps
Sampson1863,reps
Saunderson1948,reps
Sawers1844,reps
Sawford1944,reps
Scholes1931,reps
Scholfield1894,reps
Schultz1939,reps
Sciacca1947,reps
Scott1943,reps
Scott1977,reps
Scott1934,reps
Scott1947,reps
Scullin1876,reps
Scully1890,reps
Seabrook1867,reps
Secker1956,reps
Sercombe1949,reps
Sexton1905,reps
Shack1953,reps
Sharkie1972,reps
Sharp1954,reps
Sharpe1868,reps
Shaw1913,reps
Sheehan1891,reps
Sheehy1899,reps
Sherry1924,reps
Shipton1936,reps
Short1936,reps
Short1956,reps
Shorten1967,reps
Sidebottom1951,reps
Simmons1947,reps
Simon1936,reps
Simpkins1964,reps
Sinclair1864,reps
Sinclair1929,reps
Skene1845,reps
Slipper1950,reps
Smith1881,reps
Smith1950,reps
Smith1967,reps
Smith1851,reps
Smith1939,reps
Smith1955,reps
Smith1856,reps
Smith1954,reps
Smith1869,reps
Smyth1959,reps
Smyth1976,reps
Snedden1926,reps
Snow1934,reps
Snowdon1950,reps
Solomon1839,reps
Solomon1931,reps
Solomon1853,reps
Somlyay1946,reps
Southcott1967,reps
Spence1846,reps
Spender1935,reps
Spender1897,reps
Spooner1891,reps
Spurr1897,reps
Stacey1879,reps
Staley1939,reps
Stanley1961,reps
Staples1947,reps
Steedman1943,reps
Stewart1923,reps
Stewart1884,reps
Stewart1885,reps
Stokes1906,reps
Stone1951,reps
Storrer1854,reps
Story1857,reps
Street1926,reps
Street1894,reps
Stumm1853,reps
Sudmalis1955,reps
Sukkar1981,reps
Sullivan1929,reps
Sullivan1950,reps
Sullivan1942,reps
Swan1954,reps
Swanson1970,reps
Swartz1911,reps
Symon1965,reps
Tambling1943,reps
Tanner1956,reps
Taylor1966,reps
Taylor1938,reps
Tehan1968,reps
Templeman1963,reps
Theodore1884,reps
Theophanous1946,reps
Thistlethwaite1972,reps
Thomas1863,reps
Thompson1886,reps
Thompson1960,reps
Thompson1885,reps
Thomson1961,reps
Thomson1964,reps
Thomson1856,reps
Thomson1924,reps
Thomson1848,reps
Thomson1862,reps
Thomson1955,reps
Thorburn1930,reps
Thorby1888,reps
Ticehurst1945,reps
Tickner1951,reps
Timson1909,reps
Tollner1966,reps
Townley1907,reps
Treloar1892,reps
Trevor1961,reps
Truss1948,reps
Tuckey1935,reps
Tudge1971,reps
Tudor1866,reps
Tully1877,reps
Turnbull1954,reps
Turnbull1899,reps
Turner1905,reps
Turner1851,reps
Turnour1966,reps
Uren1921,reps
Vaile1956,reps
Vale1944,reps
Vamvakinou1959,reps
van Manen1959,reps
Varvaris1974,reps
Vasta1966,reps
Viner1933,reps
Wakelin1946,reps
Walker1942,reps
Wallace1968,reps
Wallace1881,reps
Wallis1922,reps
Ward1899,reps
Washer1945,reps
Watkins1865,reps
Watkins1896,reps
Watson1945,reps
Watson1867,reps
Watson1864,reps
Watt1871,reps
Watts1982,reps
Webb1908,reps
Webster1934,reps
Webster1860,reps
Wells1949,reps
Wentworth1907,reps
West1952,reps
West1851,reps
West1934,reps
Whan1933,reps
Wheeler1909,reps
White1936,reps
White1888,reps
Whiteley1960,reps
Whitlam1944,reps
Whitlam1916,reps
Whitsitt1869,reps
Whittorn1911,reps
Wicks1973,reps
Wienholt1877,reps
Wight1914,reps
Wilkie1961,reps
Wilkie1959,reps
Wilkinson1854,reps
Wilks1863,reps
Williams1942,reps
Williams1973,reps
Williams1897,reps
Willis1860,reps
Willis1938,reps
Wilson1880,reps
Wilson1932,reps
Wilson1863,reps
Wilson1972,reps
Wilson1900,reps
Wilson1966,reps
Wilson1980,reps
Wilton1955,reps
Windsor1950,reps
Wise1853,reps
Wood1968,reps
WoodsHarry1947,reps
WoodsRobert1947,reps
Wooldridge1956,reps
Worth1946,reps
Wright1942,reps
Wyatt1952,reps
Wynne1850,reps
Yates1871,reps
Yates1921,reps
Young1936,reps
Zahra1973,reps
Zammit1941,reps
Zappia1952,reps
Zimmerman1968,reps
Allen1966,reps
Archer1975,reps
Bell,reps
Burns1987,reps
Coker,reps
Conaghan,reps
Connelly,reps
Haines1961,reps
Hammond,reps
Liu1964,reps
Martin1977,reps
McIntosh1977,reps
Mulino1969,reps
Murphy1973,reps
Payne1982,reps
Pearce,reps
Phillips,reps
Sharma1975,reps
Simmonds,reps
Smith1970,reps
Steggall1974,reps
Stevens1983,reps
Thompson1988,reps
Thwaites1980,reps
Webster,reps
Wells,reps
Young1968,reps
